temp_delta_30m,temp_delta_3h,hum_delta_30m,hum_delta_3h,press_delta_30m,press_delta_3h,press_delta_24h,co2_delta_3h,hour_sin,hour_cos,temp_delta_6h,temp_delta_12h,hum_delta_6h,press_delta_1h,press_delta_6h,co2_delta_30m,co2_level_now,dew_point_now,dew_point_delta_3h,lux_delta_30m,day_night_flag,rolling_std_press_3h,label
-0.5180400000000027,-0.22164000000000073,-4.151979999999995,3.3737700000000004,0.28700000000003456,0.8980000000000246,0.0,95.0,-0.9997620270799091,0.021814885034560468,0.0,0.0,0.0,0.6399999999999864,0.0,-38.0,554.0,9.371143422957024,1.1922211710772554,8.094545,1.0,0.41806107041167184,COOLING
-0.5287299999999995,-0.30442000000000036,-1.3015900000000045,6.268409999999996,0.4130000000000109,1.1059999999999945,0.0,112.0,-0.9978589232386036,0.06540312923014237,0.0,0.0,0.0,0.65199999999993,0.0,-22.0,571.0,10.402212203513054,2.2232899516332854,2.565303,1.0,0.4577463826892048,COOLING
-0.3978799999999971,-0.41389999999999816,-0.9674199999999971,2.352940000000004,0.24500000000000455,1.400000000000091,0.0,53.0,-0.9940563382223196,0.10886687485196471,0.0,0.0,0.0,0.6230000000000473,0.0,-7.0,564.0,10.258992708173984,0.5330535196447368,-0.3377750000000006,1.0,0.48529046700944295,COOLING
-0.23231999999999786,-0.6782699999999977,2.377359999999996,2.384990000000002,0.3170000000000073,1.4569999999999936,0.0,31.0,-0.9883615104677607,0.15212338618991678,0.0,0.0,0.0,0.6040000000000418,0.0,4.0,558.0,10.07621544107665,0.3119825805206986,1.0343590000000003,1.0,0.503352669640884,COOLING
-0.33645999999999887,-0.8651899999999983,-1.5167500000000018,1.3855199999999996,0.39400000000000546,1.7419999999999618,0.0,9.0,-0.9807852804032304,0.1950903220161283,0.0,0.0,0.0,0.8070000000000164,0.0,-35.0,536.0,9.532226547558597,-0.2320063129973544,0.17739500000000064,1.0,0.5476338891478593,COOLING
-0.7396799999999999,-1.3324999999999996,-1.1154300000000035,1.8783900000000031,0.44099999999991724,1.9379999999999882,0.0,24.0,-0.9713420698132614,0.23768589232617307,0.0,0.0,0.0,0.6859999999999218,0.0,-19.0,545.0,9.177958136172279,-0.4519617287597697,0.9636669999999992,1.0,0.5649135845637662,HUMIDIFYING
-0.6969500000000011,-1.4526600000000016,-0.24566999999999695,1.0910200000000003,0.46299999999996544,1.9359999999999218,0.0,32.0,-0.9600498543859287,0.279829014030992,0.0,0.0,0.0,0.7799999999999727,0.0,21.0,579.0,9.360973953943558,-0.8822650900741493,-0.09750499999999995,0.0,0.6008972285044811,HUMIDIFYING
-0.9880199999999988,-1.8585499999999975,0.891130000000004,-0.23040999999999912,0.41700000000003,2.1860000000000355,0.0,-30.0,-0.9469301294951057,0.3214394653031615,0.0,0.0,0.0,0.8110000000000355,0.0,1.0,537.0,8.984426944215839,-1.7491501200049449,1.169103999999999,0.0,0.6238121565408903,HUMIDIFYING
-0.5100300000000004,-1.7650899999999972,1.9119499999999974,0.022889999999996746,0.36800000000005184,1.9539999999999509,0.0,-24.0,-0.9320078692827986,0.36243803828370147,0.0,0.0,0.0,0.8089999999999691,0.0,15.0,560.0,9.431992549045946,-1.5753227493362054,-0.4760849999999994,0.0,0.6285164522491977,HUMIDIFYING
-0.3551599999999979,-1.7837799999999966,0.8010999999999981,0.29908000000000357,0.2820000000000391,1.9890000000000327,0.0,49.0,-0.9153114791194472,0.402746689858737,0.0,0.0,0.0,0.7450000000000045,0.0,42.0,621.0,9.3390652423297,-1.4876915907996828,-4.670762,0.0,0.6370230147566438,HUMIDIFYING
0.13617999999999952,-1.7143599999999992,0.75685,-1.141370000000002,0.14599999999995816,1.9610000000000127,0.0,12.0,-0.8968727415326884,0.442288690219001,0.0,0.0,0.0,0.5629999999999882,0.0,70.0,607.0,9.385072174247364,-1.9540225448277848,-4.884455,0.0,0.6331449751492824,COOLING
-0.008010000000002293,-1.9920600000000022,-0.048829999999995266,-0.9750599999999991,0.1349999999999909,1.9230000000000018,0.0,6.0,-0.8767267557075079,0.48098876891938736,0.0,0.0,0.0,0.5030000000000427,0.0,41.0,601.0,9.407058176053784,-2.1429085461607222,-3.9383239999999997,0.0,0.6254582585920436,COOLING
-0.10681000000000296,-1.8398600000000016,0.9338499999999996,-0.3738400000000013,0.27499999999997726,1.9769999999999754,0.0,15.0,-0.8549118706729468,0.5187732581605211,0.0,0.0,0.0,0.5570000000000164,0.0,-10.0,611.0,9.581407092145485,-1.7888997309715062,0.06400600000000001,0.0,0.6171359054225957,COOLING
-0.34447000000000116,-1.9787199999999991,1.5411599999999979,1.4511399999999952,0.16300000000001091,1.7719999999999345,0.0,39.0,-0.8314696123025455,0.5555702330196018,0.0,0.0,0.0,0.3089999999999691,0.0,2.0,609.0,9.62853771598849,-1.2550767615093523,-0.08356999999999992,0.0,0.5970573778669589,COOLING
-0.3765199999999993,-2.122910000000001,2.342259999999996,1.843289999999996,0.1570000000000391,1.7240000000000464,0.0,31.0,-0.8064446042674829,0.591309648363582,0.0,0.0,0.0,0.29200000000003,0.0,21.0,622.0,9.89776686687764,-1.2587464105819155,0.3610369999999996,0.0,0.5803871856946559,COOLING
-0.36315999999999704,-2.2724399999999996,2.493319999999997,2.207979999999999,0.022000000000048203,1.6460000000000719,0.0,33.0,-0.7798844830928822,0.6259234721840586,0.0,0.0,0.0,0.29700000000002547,0.0,14.0,625.0,10.123583749656193,-1.2772273651811545,-0.13811600000000013,0.0,0.5553428428729412,COOLING
-0.20026999999999973,-2.2617699999999985,2.21866,2.5894599999999954,0.057999999999992724,1.5910000000000082,0.0,23.0,-0.7518398074789772,0.6593458151000691,0.0,0.0,0.0,0.22100000000000364,0.0,7.0,616.0,10.211885709092325,-1.1400683766803112,0.14676199999999984,0.0,0.5237424299825156,COOLING
-0.34980999999999796,-2.381929999999997,1.8127700000000004,3.935299999999998,0.07899999999995089,1.4249999999999545,0.0,43.0,-0.7223639620597554,0.6915130557822695,-2.2751199999999976,0.0,10.753029999999995,0.23599999999999,2.3360000000000127,-8.0,614.0,10.19473802257505,-0.7782944167336936,-0.41293500000000005,0.0,0.48714843847438344,COOLING
-0.3284600000000033,-2.08286,1.0925500000000028,7.452509999999997,0.17300000000000182,1.532000000000039,0.0,56.0,-0.6915130557822698,0.7223639620597551,-2.304500000000001,0.0,10.826279999999997,0.19500000000005002,2.4300000000000637,-15.0,610.0,10.192367315053966,0.8212238920969419,-0.08396099999999951,0.0,0.46341300390512213,COOLING
-0.42457999999999885,-2.157619999999998,1.37941,5.27046,0.10599999999999454,1.2839999999999918,0.0,46.0,-0.6593458151000694,0.7518398074789769,-2.4620399999999982,0.0,11.538869999999996,0.16399999999998727,2.3899999999999864,1.0,617.0,10.283683623764976,-0.1185285797480784,-0.04217599999999955,0.0,0.41950495822135514,COOLING
-0.6702500000000029,-2.6543000000000028,1.5655800000000042,6.468299999999999,0.1150000000000091,1.294999999999959,0.0,51.0,-0.625923472184059,0.7798844830928818,-3.068200000000001,0.0,8.821240000000003,0.19399999999995998,2.69500000000005,1.0,615.0,10.095810548538655,-0.16318215963532978,-0.15389199999999992,0.0,0.3866641266194783,STEADY
-1.081479999999999,-2.9320200000000014,3.0640100000000032,8.139160000000004,0.0019999999999527063,1.2169999999999845,0.0,55.0,-0.5913096483635824,0.8064446042674827,-3.610289999999999,0.0,10.524150000000006,0.17499999999995453,2.673999999999978,3.0,613.0,10.189178684686029,0.1129632436093786,2.460248,0.0,0.34235907184128417,STEADY
0.40053999999999945,-1.4206199999999995,0.9506399999999999,7.737850000000002,0.09300000000007458,0.9830000000000609,0.0,151.0,-0.5555702330196022,0.8314696123025452,-2.285809999999998,0.0,9.123370000000001,0.19900000000006912,2.7250000000000227,70.0,687.0,10.956752324481418,1.4245257769228203,-0.01051399999999969,0.0,0.288995097198884,COOLING
1.2123300000000015,-0.7022900000000014,-0.5218600000000038,7.061869999999999,-0.0009999999999763531,0.8530000000000655,0.0,130.0,-0.5187732581605214,0.8549118706729466,-2.034790000000001,0.0,8.940260000000002,0.11400000000003274,2.7910000000000537,60.0,675.0,11.031405716454866,1.8534475802825874,-0.25059200000000015,0.0,0.2550278785477593,COOLING
1.8158200000000022,-0.4192499999999981,-2.3315800000000024,6.0532499999999985,0.01599999999996271,0.7699999999999818,0.0,95.0,-0.48098876891938774,0.8767267557075077,-1.8719099999999997,0.0,7.144269999999999,0.017999999999915417,2.7059999999999036,61.0,674.0,11.10161760554645,1.7406436516028911,-2.6667570000000005,0.0,0.22021671521946654,COOLING
